"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
668653;2025-03-21;"sexta-feira";"16:00:00";"RJ";101;472;"ANGRA DOS REIS";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-22,98794;-44,23648;"SPRF-RJ";"DEL03-RJ";"UOP03-DEL03-RJ"
668655;2025-03-21;"sexta-feira";"13:50:00";"SC";101;142,9;"ITAPEMA";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Múltipla";"Reta";"Sim";1;0;1;0;0;0;1;1;-27,06184924;-48,59630799;"SPRF-SC";"DEL04-SC";"UOP03-DEL04-SC"
668656;2025-03-21;"sexta-feira";"16:40:00";"CE";116;476;"MILAGRES";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;0;1;1;0;1;2;-7,302217;-38,893729;"SPRF-CE";"DEL05-CE";"UOP03-DEL05-CE"
668657;2025-03-21;"sexta-feira";"16:10:00";"RN";101;96;"NATAL";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Múltipla";"Reta;Interseção de Vias";"Sim";2;0;1;0;1;0;1;2;-5,850057;-35,209527;"SPRF-RN";"DEL01-RN";"UOP01-DEL01-RN"
668659;2025-03-21;"sexta-feira";"16:40:00";"PB";230;18;"JOAO PESSOA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;2;0;0;1;2;2;-7,12203423;-34,84526396;"SPRF-PB";"DEL01-PB";"UOP01-DEL01-PB"
668661;2025-03-21;"sexta-feira";"17:05:00";"PE";101;50,7;"ABREU E LIMA";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;0;0;2;0;0;2;-7,91516859;-34,89831805;"SPRF-PE";"DEL01-PE";"UOP02-DEL01-PE"
668662;2025-01-20;"segunda-feira";"11:51:00";"SP";116;140,8;"SAO JOSE DOS CAMPOS";"Condutor deixou de manter distância do veículo da frente";"Engavetamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Declive;Reta";"Sim";4;0;1;0;3;0;1;3;-23,16577714;-45,81246193;"SPRF-SP";"DEL02-SP";"UOP01-DEL02-SP"
668663;2025-03-21;"sexta-feira";"16:53:00";"PE";407;118,6;"PETROLINA";"Acessar a via sem observar a presença dos outros veículos";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Interseção de Vias;Reta";"Não";2;0;1;0;1;0;1;2;-9,32848;-40,565332;"SPRF-PE";"DEL06-PE";"UOP01-DEL06-PE"
668664;2025-03-21;"sexta-feira";"16:30:00";"PR";277;75;"SAO JOSE DOS PINHAIS";"Acesso irregular";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;0;1;1;2;-25,48893458;-49,17823054;"SPRF-PR";"DEL01-PR";"UOP07-DEL01-PR"
668666;2025-03-21;"sexta-feira";"17:30:00";"MG";50;174,9;"UBERABA";"Acessar a via sem observar a presença dos outros veículos";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva";"Sim";2;0;0;1;0;1;1;2;-19,7777064;-47,9709273;"SPRF-MG";"DEL13-MG";"UOP01-DEL13-MG"
